number,name,slug,created_at,updated_at,rating,url
1,Detroit Motors,Slug1,2010-01-12,2010-01-13,2,selcouth/profile1
2,Tesla Motors,Slug2,2010-01-13,2010-01-14,5,selcouth/profile2
3,Jagadamba,Slug3,2010-01-14,2010-01-15,5,selcouth/profile3
4,Qwik Power Solution,Slug4,2010-01-15,2010-01-16,2,selcouth/profile1
5,Rayon Engineers,Slug5,2010-01-16,2010-01-17,4,selcouth/profile2
6,Innova Diesel Generators Pvt Limited,Slug6,2010-01-17,2010-01-18,5,selcouth/profile3
7,Amp Impex Pvt Ltd,Slug7,2010-01-18,2010-01-19,3,selcouth/profile1
8,Nextgen Automobile Industries,Slug8,2010-01-19,2010-01-20,5,selcouth/profile2
9,Om Packaging,Slug9,2010-01-20,2010-01-21,2,selcouth/profile3
10,Stackers & Movers India Manufacturing Company,Slug10,2010-01-21,2010-01-22,2,selcouth/profile1
11,Motoxo Electric,Slug11,2010-01-22,2010-01-23,2,selcouth/profile2
12,SS Overseas,Slug12,2010-01-23,2010-01-24,5,selcouth/profile1
13,AG International Private Limited,Slug13,2010-01-24,2010-01-25,4,selcouth/profile2
14,YC Electric Vehicle,Slug14,2010-01-25,2010-01-26,5,selcouth/profile3
15,Multi Dimensional Solutions,Slug15,2010-01-26,2010-01-27,2,selcouth/profile1
16,Tejus Motors,Slug16,2010-01-27,2010-01-28,3,selcouth/profile2
17,Terra Motors India Pvt Ltd.,Slug17,2010-01-28,2010-01-29,3,selcouth/profile3
18,Shree Jee Enterprises,Slug18,2010-01-29,2010-01-30,3,selcouth/profile1
19,Sovan Auto Manufacturer Private Limited,Slug19,2010-01-30,2010-01-31,2,selcouth/profile2
20,Reet Industries,Slug20,2010-01-31,2010-02-01,3,selcouth/profile3
21,Prem Enterprises,Slug21,2010-02-01,2010-02-02,5,selcouth/profile1
22,Amit E Rickshow Controls,Slug22,2010-02-02,2010-02-03,3,selcouth/profile2
23,Mukherjee E- Tech Enterprises,Slug23,2010-02-03,2010-02-04,2,selcouth/profile1
24,City Life,Slug24,2010-02-04,2010-02-05,5,selcouth/profile2
25,M/s Agarwal Traders,Slug25,2010-02-05,2010-02-06,3,selcouth/profile3
26,Jangid Motors,Slug26,2010-02-06,2010-02-07,2,selcouth/profile1
27,Rufouz Hitek Engineers Pvt. Ltd.,Slug27,2010-02-07,2010-02-08,2,selcouth/profile2
28,Laxmi En-fab Private Limited,Slug28,2010-02-08,2010-02-09,4,selcouth/profile3
29,Frigmaires International,Slug29,2010-02-09,2010-02-10,3,selcouth/profile1
30,Parrytech Hydraulics,Slug30,2010-02-10,2010-02-11,4,selcouth/profile2
31,Richard Engineering Bombay Private Limited,Slug31,2010-02-11,2010-02-12,4,selcouth/profile3
32,Sakun Engineers,Slug32,2010-02-12,2010-02-13,5,selcouth/profile1
33,Fluid Power Machines Private Limited,Slug33,2010-02-13,2010-02-14,4,selcouth/profile2
34,Kerone,Slug34,2010-02-14,2010-02-15,5,selcouth/profile1
35,Avi International Packaging Co.,Slug35,2010-02-15,2010-02-16,2,selcouth/profile2
36,Archana Extrusion Machinery Manufacturing,Slug36,2010-02-16,2010-02-17,2,selcouth/profile3
37,Nilax Overseas,Slug37,2010-02-17,2010-02-18,3,selcouth/profile1
38,Innovative Flexotech Private Limited,Slug38,2010-02-18,2010-02-19,3,selcouth/profile2
39,Om Shakthi Hydraulics Private Limited,Slug39,2010-02-19,2010-02-20,3,selcouth/profile3
40,Hindustan Plastic And Machine Corporation,Slug40,2010-02-20,2010-02-21,2,selcouth/profile1
41,Star Trace Private Limited,Slug41,2010-02-21,2010-02-22,4,selcouth/profile2
42,Hindustan Road Equipments,Slug42,2010-02-22,2010-02-23,4,selcouth/profile3
43,Pratham Engineering,Slug43,2010-02-23,2010-02-24,3,selcouth/profile1
44,Tropicool ENovations & Cooling System,Slug44,2010-02-24,2010-02-25,2,selcouth/profile2
45,Sant Engineering Industries,Slug45,2010-02-25,2010-02-26,5,selcouth/profile1
46,Excel Plants & Equipment Private Limited,Slug46,2010-02-26,2010-02-27,5,selcouth/profile2
47,Monu Graphics,Slug47,2010-02-27,2010-02-28,4,selcouth/profile3
48,Topall Impex,Slug48,2010-02-28,2010-03-01,4,selcouth/profile1
49,Economode Food Equipment ,Slug49,2010-03-01,2010-03-02,4,selcouth/profile2
50,Ocean Extrusions Private Limited,Slug50,2010-03-02,2010-03-03,3,selcouth/profile3
51,Multicut Machine Tools,Slug51,2010-03-03,2010-03-04,5,selcouth/profile1
52,Uflex Limited Engineering Division,Slug52,2010-03-04,2010-03-05,2,selcouth/profile2
53,EIE Instruments Private Limited,Slug53,2010-03-05,2010-03-06,2,selcouth/profile3
54,"Weilai Machinery, LLP",Slug54,2010-03-06,2010-03-07,3,selcouth/profile1
55,Newtech Trading Corporation,Slug55,2010-03-07,2010-03-08,4,selcouth/profile2
56,Protonics Systems India Private Limited,Slug56,2010-03-08,2010-03-09,2,selcouth/profile1
57,Haryana General Industries,Slug57,2010-03-09,2010-03-10,3,selcouth/profile2
58,Kalpataru Industries,Slug58,2010-03-10,2010-03-11,3,selcouth/profile3
59,Photonics,Slug59,2010-03-11,2010-03-12,5,selcouth/profile1
60,Shah Electronics,Slug60,2010-03-12,2010-03-13,3,selcouth/profile2
61,Eminent Devices & Technologies,Slug61,2010-03-13,2010-03-14,4,selcouth/profile3
62,Lighting Solutions,Slug62,2010-03-14,2010-03-15,2,selcouth/profile1
63,Lokozo Technologies Private Limited,Slug63,2010-03-15,2010-03-16,3,selcouth/profile2
64,Sunman Engineering Inc.,Slug64,2010-03-16,2010-03-17,2,selcouth/profile3
65,Tansck Enterprises,Slug65,2010-03-17,2010-03-18,3,selcouth/profile1
66,Volts And Watts India,Slug66,2010-03-18,2010-03-19,5,selcouth/profile2
67,Industrial Engineering Services,Slug67,2010-03-19,2010-03-20,3,selcouth/profile1
